match_id,date,stage,group,team_a,team_b,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team
1,2026-06-11,Group Stage,Group A,Mexico,South Africa,False,False,False
2,2026-06-12,Group Stage,Group A,South Korea,Winner UEFA Playoff D,False,False,False
3,2026-06-12,Group Stage,Group B,Canada,Winner UEFA Playoff A,False,False,False
4,2026-06-13,Group Stage,Group D,United States,Paraguay,False,False,False
5,2026-06-13,Group Stage,Group B,Qatar,Switzerland,False,False,False
6,2026-06-13,Group Stage,Group C,Brazil,Morocco,False,False,False
7,2026-06-14,Group Stage,Group C,Haiti,Scotland,False,False,False
8,2026-06-14,Group Stage,Group D,Australia,Winner UEFA Playoff C,False,False,False
9,2026-06-14,Group Stage,Group E,Germany,Curaçao,False,False,False
10,2026-06-14,Group Stage,Group F,Netherlands,Japan,False,False,False
11,2026-06-14,Group Stage,Group E,Ivory Coast,Ecuador,False,False,False
12,2026-06-15,Group Stage,Group F,Winner UEFA Playoff B,Tunisia,False,False,False
13,2026-06-15,Group Stage,Group H,Spain,Cabo Verde,False,False,False
14,2026-06-15,Group Stage,Group G,Belgium,Egypt,False,False,False
15,2026-06-15,Group Stage,Group H,Saudi Arabia,Uruguay,False,False,False
16,2026-06-16,Group Stage,Group G,Iran,New Zealand,False,False,False
17,2026-06-16,Group Stage,Group I,France,Senegal,False,False,False
18,2026-06-16,Group Stage,Group I,Winner FIFA Playoff 2,Norway,False,False,False
19,2026-06-17,Group Stage,Group J,Argentina,Algeria,False,False,False
20,2026-06-17,Group Stage,Group J,Austria,Jordan,False,False,False
21,2026-06-17,Group Stage,Group K,Portugal,Winner FIFA Playoff 1,False,False,False
22,2026-06-17,Group Stage,Group L,England,Croatia,False,False,False
23,2026-06-17,Group Stage,Group L,Ghana,Panama,False,False,False
24,2026-06-18,Group Stage,Group K,Uzbekistan,Colombia,False,False,False
25,2026-06-18,Group Stage,Group A,Winner UEFA Playoff D,South Africa,False,False,False
26,2026-06-18,Group Stage,Group B,Switzerland,Winner UEFA Playoff A,False,False,False
