config,fold,train_rows,val_rows,accuracy,macro_f1,log_loss,brier
baseline,1,21075,5268,0.5897873955960516,0.42625005172746455,0.8823686622363007,0.5198012829146983
baseline,2,26343,5269,0.5796166255456443,0.4313476194723989,0.8952335173786021,0.5281225944487627
baseline,3,31612,5269,0.5828430442209148,0.4294894671942983,0.8953434863645875,0.5278202787205937
baseline,4,36881,5269,0.585120516226988,0.4321410617917682,0.9014112109704121,0.5312030450701029
E3_base_plus_player_experience,1,21075,5268,0.5890280941533789,0.4253318414307771,0.8828230408507723,0.5200729607959131
E3_base_plus_player_experience,2,26343,5269,0.5780983108749288,0.4276711918598797,0.8952196384657523,0.5280943459557583
E3_base_plus_player_experience,3,31612,5269,0.5817043082178781,0.4276438630963983,0.8953220727721974,0.5278371272487417
E3_base_plus_player_experience,4,36881,5269,0.5832226228885936,0.4301132241970338,0.9012604888226488,0.5311750539035373
