experiment_id,n_features,n_zafronix_features,val_accuracy,val_macro_f1,val_log_loss,val_brier,val_draw_recall
E0_baseline,25,0,0.5824146275880613,0.4301344951518131,0.897823061908177,0.529260769097607,0.010338885697874785
E1_base_plus_pedigree,34,9,0.5842968539930089,0.4334123341067475,0.8977072330949327,0.5292792581647495,0.013210798391728892
E2_base_plus_squad,29,4,0.5840279645065878,0.42993202177473977,0.8979985564151439,0.5293956261721434,0.00861573808156232
E3_base_plus_player_experience,27,2,0.583086851304114,0.4292341275855793,0.8975407288543008,0.5290511558811084,0.00861573808156232
E4_base_plus_availability,27,2,0.5840279645065878,0.4313678998855024,0.8975488158390483,0.5291029881492514,0.010913268236645606
E5_base_plus_pedigree_availability,36,11,0.5841624092497983,0.43480801188299173,0.8978323570104063,0.5293819724210871,0.01665709362435382
E6_base_plus_squad_and_player,33,8,0.5838935197633772,0.43011839481155417,0.8980160968885824,0.529440434907401,0.00861573808156232
E7_base_plus_all_zafronix,42,17,0.5847001882226405,0.434895537986647,0.8980411012720941,0.5295026967481946,0.016082711085583
