year,teams,with_final_position,with_knockout_path
1930,13,13,4
1934,16,16,16
1938,15,15,15
1950,13,13,4
1954,16,16,8
1958,16,16,8
1962,16,16,8
1966,16,16,8
1970,16,16,8
1974,16,16,8
1978,16,16,8
1982,24,24,12
1986,24,24,16
1990,24,24,16
1994,24,24,16
1998,32,32,16
2002,32,32,16
2006,32,32,16
2010,32,32,16
2014,32,32,16
2018,32,32,16
2022,32,32,16
2026,48,0,0
