match_id,team_a_days_since_last_match,team_a_matches_last_30_days,team_b_days_since_last_match,team_b_matches_last_30_days,rest_days_diff,match_congestion_diff
football_data_org_537384,4,5,3,5,1,0
football_data_org_537385,6,5,5,5,1,0
football_data_org_537386,4,5,4,5,0,0
