match_id,date,stage,group,team_a,team_b,venue,city,country,status,source,last_updated,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team
29,2026-06-19,Group Stage,Group D,United States,Australia,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
30,2026-06-19,Group Stage,Group C,Scotland,Morocco,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
31,2026-06-20,Group Stage,Group C,Brazil,Haiti,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
32,2026-06-20,Group Stage,Group D,Winner UEFA Playoff C,Paraguay,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
33,2026-06-20,Group Stage,Group F,Netherlands,Winner UEFA Playoff B,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
34,2026-06-20,Group Stage,Group E,Germany,Ivory Coast,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
35,2026-06-21,Group Stage,Group E,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
36,2026-06-21,Group Stage,Group F,Tunisia,Japan,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
37,2026-06-21,Group Stage,Group H,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
38,2026-06-21,Group Stage,Group G,Belgium,Iran,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
39,2026-06-21,Group Stage,Group H,Uruguay,Cabo Verde,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
40,2026-06-22,Group Stage,Group G,New Zealand,Egypt,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
