fixture_id,match_id,date,round,stage,group,team_a,team_b,team_a_id,team_b_id,team_a_goals,team_b_goals,team_a_penalty_goals,team_b_penalty_goals,winner,status_short,status_long,elapsed,is_completed,is_live,is_scheduled,is_knockout,venue,city,country,source,provider,last_updated
537398,football_data_org_537398,2026-06-17T04:00:00Z,GROUP_STAGE,Group Stage,GROUP_J,Austria,Jordan,816.0,8049.0,3.0,1.0,,,Austria,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537403,football_data_org_537403,2026-06-17T17:00:00Z,GROUP_STAGE,Group Stage,GROUP_K,Portugal,Congo DR,765.0,1934.0,1.0,1.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537409,football_data_org_537409,2026-06-17T20:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,England,Croatia,770.0,799.0,4.0,2.0,,,England,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537410,football_data_org_537410,2026-06-17T23:00:00Z,GROUP_STAGE,Group Stage,GROUP_L,Ghana,Panama,763.0,1836.0,1.0,0.0,,,Ghana,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537404,football_data_org_537404,2026-06-18T02:00:00Z,GROUP_STAGE,Group Stage,GROUP_K,Uzbekistan,Colombia,8070.0,818.0,1.0,3.0,,,Colombia,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537329,football_data_org_537329,2026-06-18T16:00:00Z,GROUP_STAGE,Group Stage,GROUP_A,Czechia,South Africa,798.0,774.0,1.0,1.0,,,Draw,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537335,football_data_org_537335,2026-06-18T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_B,Switzerland,Bosnia-Herzegovina,788.0,1060.0,4.0,1.0,,,Switzerland,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537336,football_data_org_537336,2026-06-18T22:00:00Z,GROUP_STAGE,Group Stage,GROUP_B,Canada,Qatar,828.0,8030.0,6.0,0.0,,,Canada,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537330,football_data_org_537330,2026-06-19T01:00:00Z,GROUP_STAGE,Group Stage,GROUP_A,Mexico,South Korea,769.0,772.0,1.0,0.0,,,Mexico,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
537348,football_data_org_537348,2026-06-19T19:00:00Z,GROUP_STAGE,Group Stage,GROUP_D,United States,Australia,771.0,779.0,2.0,0.0,,,United States,FINISHED,FINISHED,,True,False,False,False,,,,football_data_org,football_data_org,2026-07-10T05:20:09Z
