simulation_id,finalist_1,finalist_2,finalist_pair_key,champion,runner_up,semifinalists,fallback_mapping_used
95,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
96,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
97,Spain,England,England vs Spain,England,Spain,,True
98,Spain,England,England vs Spain,Spain,England,,True
99,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
100,Spain,England,England vs Spain,Spain,England,,True
101,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
102,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
103,Spain,England,England vs Spain,Spain,England,,True
104,Spain,England,England vs Spain,England,Spain,,True
105,Spain,England,England vs Spain,Spain,England,,True
106,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
107,Spain,England,England vs Spain,England,Spain,,True
108,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
109,Spain,England,England vs Spain,Spain,England,,True
110,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
111,Spain,England,England vs Spain,Spain,England,,True
112,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
113,Spain,England,England vs Spain,England,Spain,,True
114,Spain,England,England vs Spain,England,Spain,,True
115,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
116,Spain,England,England vs Spain,Spain,England,,True
117,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
118,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
119,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
120,Spain,England,England vs Spain,Spain,England,,True
121,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
122,Spain,England,England vs Spain,Spain,England,,True
123,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
124,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
125,Spain,England,England vs Spain,Spain,England,,True
126,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
127,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
128,Spain,England,England vs Spain,England,Spain,,True
129,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
130,Spain,England,England vs Spain,England,Spain,,True
131,Spain,England,England vs Spain,England,Spain,,True
132,Spain,England,England vs Spain,Spain,England,,True
133,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
134,Spain,England,England vs Spain,Spain,England,,True
135,Spain,England,England vs Spain,Spain,England,,True
136,Spain,England,England vs Spain,Spain,England,,True
137,Spain,England,England vs Spain,England,Spain,,True
138,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
139,Spain,England,England vs Spain,Spain,England,,True
