fixture_id,match_id,stage,round,team_a,team_b,date,provider,team_a_pre_match_elo,team_b_pre_match_elo,elo_difference,elo_expected_score_team_a,team_a_form_points_last_3,team_a_win_rate_last_3,team_a_form_points_last_5,team_a_win_rate_last_5,team_a_form_points_last_10,team_a_win_rate_last_10,team_a_draw_rate_last_5,team_a_loss_rate_last_5,team_a_goals_for_avg_last_3,team_a_goals_against_avg_last_3,team_a_goal_diff_avg_last_3,team_a_goals_for_avg_last_5,team_a_goals_against_avg_last_5,team_a_goal_diff_avg_last_5,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_goals_for_sum_last_5,team_a_clean_sheet_rate_last_5,team_b_form_points_last_3,team_b_win_rate_last_3,team_b_form_points_last_5,team_b_win_rate_last_5,team_b_form_points_last_10,team_b_win_rate_last_10,team_b_draw_rate_last_5,team_b_loss_rate_last_5,team_b_goals_for_avg_last_3,team_b_goals_against_avg_last_3,team_b_goal_diff_avg_last_3,team_b_goals_for_avg_last_5,team_b_goals_against_avg_last_5,team_b_goal_diff_avg_last_5,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_goals_for_sum_last_5,team_b_clean_sheet_rate_last_5,form_points_last_5_diff,win_rate_last_5_diff,loss_rate_last_5_diff,goals_for_avg_last_5_diff,goals_against_avg_last_5_diff,goal_diff_avg_last_5_diff,clean_sheet_rate_last_5_diff,h2h_matches_last_10,h2h_team_a_wins_last_10,h2h_team_b_wins_last_10,h2h_draws_last_10,h2h_team_a_win_rate_last_10,h2h_goal_diff_team_a_last_10,is_world_cup_match,is_friendly,is_qualifier,is_knockout,is_group_stage,is_neutral,stage_encoded,tournament_importance_score,team_a_days_since_last_match,team_a_matches_last_30_days,team_b_days_since_last_match,team_b_matches_last_30_days,rest_days_diff,match_congestion_diff,missing_feature_count,feature_status,feature_source,is_predictable_now,generated_at
537384,football_data_org_537384,Quarterfinal,QUARTER_FINALS,Spain,Belgium,2026-07-10T19:00:00Z,football_data_org,2058.896303378817,1902.082743090437,156.8135602883799,0.7115022752166076,9.0,1.0,13.0,0.8,22.0,0.6,0.2,0.0,1.6666666666666667,0.0,1.6666666666666667,1.8,0.0,1.8,1.8,0.4,1.4,9.0,1.0,9.0,1.0,11.0,0.6,24.0,0.7,0.4,0.0,4.0,1.3333333333333333,2.6666666666666665,2.6,1.0,1.6,3.3,0.8,2.5,13.0,0.2,2.0,0.20000000000000007,0.0,-0.8,-1.0,0.19999999999999996,0.8,10,8,0,2,0.8,1.9,True,False,False,True,False,True,0,5,4,5,3,5,1,0,0,complete,phase3_feature_functions_with_live_history_fast,True,2026-07-10T06:19:37+00:00
537385,football_data_org_537385,Quarterfinal,QUARTER_FINALS,Norway,England,2026-07-11T21:00:00Z,football_data_org,1880.7711964549494,1966.8562118819245,-86.08501542697513,0.3785881369967098,6.0,0.6666666666666666,12.0,0.8,20.0,0.6,0.0,0.2,1.6666666666666667,2.0,-0.3333333333333333,2.4,1.8,0.6,2.1,1.4,0.7,12.0,0.0,9.0,1.0,13.0,0.8,23.0,0.7,0.2,0.0,2.3333333333333335,1.0,1.3333333333333333,2.2,1.0,1.2,1.8,0.7,1.1,11.0,0.4,-1.0,0.0,0.2,0.19999999999999973,0.8,-0.6,-0.4,10,2,5,3,0.2,-1.1,True,False,False,True,False,True,0,5,6,5,5,5,1,0,0,complete,phase3_feature_functions_with_live_history_fast,True,2026-07-10T06:19:37+00:00
537386,football_data_org_537386,Quarterfinal,QUARTER_FINALS,Argentina,Switzerland,2026-07-12T01:00:00Z,football_data_org,2067.854820270937,1888.5589899837132,179.2958302872239,0.7373247133179084,9.0,1.0,15.0,1.0,30.0,1.0,0.0,0.0,3.0,1.6666666666666667,1.3333333333333333,2.8,1.0,1.8,2.8,0.6,2.2,14.0,0.4,9.0,1.0,13.0,0.8,19.0,0.5,0.2,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.6,1.2,1.4,2.2,1.3,0.9,13.0,0.2,2.0,0.19999999999999996,0.0,0.19999999999999973,-0.19999999999999996,0.40000000000000013,0.2,7,5,0,2,0.7142857142857143,1.7142857142857142,True,False,False,True,False,True,0,5,4,5,4,5,0,0,0,complete,phase3_feature_functions_with_live_history_fast,True,2026-07-10T06:19:37+00:00
