simulation_id,stage,team_a,team_b,winner,loser,result_label,probability_source
15,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
15,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
15,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
15,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
15,Semifinal,Norway,Argentina,Norway,Argentina,team_a_win,elo_fallback
15,Final,France,Norway,France,Norway,team_a_win,model_reversed
16,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
16,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
16,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
16,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
16,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
16,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
16,Final,France,England,England,France,team_a_loss,elo_fallback
17,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
17,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
17,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
17,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
17,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
17,Semifinal,Norway,Argentina,Argentina,Norway,team_a_loss,elo_fallback
17,Final,Spain,Argentina,Argentina,Spain,team_a_loss,elo_fallback
18,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
18,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
18,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
18,Quarterfinal,Argentina,Switzerland,Switzerland,Argentina,team_a_loss,live_model_exact
18,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
18,Semifinal,England,Switzerland,England,Switzerland,team_a_win,elo_fallback
18,Final,Spain,England,Spain,England,team_a_win,elo_fallback
19,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
19,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
19,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
19,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
19,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
19,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
19,Final,France,England,England,France,team_a_loss,elo_fallback
20,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
20,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
20,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
20,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
20,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
20,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
20,Final,Spain,England,England,Spain,team_a_loss,elo_fallback
21,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
21,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
21,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
21,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
21,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
21,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
21,Final,France,England,France,England,team_a_win,elo_fallback
22,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
22,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
22,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
