match_id,date,team_a,team_b,stage,group,venue,status,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team,team_a_current_elo,team_b_current_elo,elo_difference,elo_expected_score_team_a,team_a_rating_missing,team_b_rating_missing,team_a_elo_rating,team_b_elo_rating,elo_rating_diff,team_a_elo_rank,team_b_elo_rank,elo_rank_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_fifa_points,team_b_fifa_points,fifa_points_diff,team_a_form_points_last_3,team_a_win_rate_last_3,team_a_form_points_last_5,team_a_win_rate_last_5,team_a_form_points_last_10,team_a_win_rate_last_10,team_a_draw_rate_last_5,team_a_loss_rate_last_5,team_b_form_points_last_3,team_b_win_rate_last_3,team_b_form_points_last_5,team_b_win_rate_last_5,team_b_form_points_last_10,team_b_win_rate_last_10,team_b_draw_rate_last_5,team_b_loss_rate_last_5,form_points_last_5_diff,win_rate_last_5_diff,loss_rate_last_5_diff,team_a_goals_for,team_a_goals_against,team_a_clean_sheet_flag,team_a_goals_for_avg_last_3,team_a_goals_against_avg_last_3,team_a_goal_diff_avg_last_3,team_a_goals_for_avg_last_5,team_a_goals_against_avg_last_5,team_a_goal_diff_avg_last_5,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_goals_for_sum_last_5,team_a_clean_sheet_rate_last_5,team_b_goals_for,team_b_goals_against,team_b_clean_sheet_flag,team_b_goals_for_avg_last_3,team_b_goals_against_avg_last_3,team_b_goal_diff_avg_last_3,team_b_goals_for_avg_last_5,team_b_goals_against_avg_last_5,team_b_goal_diff_avg_last_5,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_goals_for_sum_last_5,team_b_clean_sheet_rate_last_5,goals_for_avg_last_5_diff,goals_against_avg_last_5_diff,goal_diff_avg_last_5_diff,clean_sheet_rate_last_5_diff,h2h_matches_last_10,h2h_team_a_wins_last_10,h2h_team_b_wins_last_10,h2h_draws_last_10,h2h_team_a_win_rate_last_10,h2h_goal_diff_team_a_last_10,is_world_cup_match,is_friendly,is_qualifier,is_knockout,is_group_stage,is_neutral,stage_encoded,tournament_importance_score,team_a_days_since_last_match,team_a_matches_last_30_days,team_b_days_since_last_match,team_b_matches_last_30_days,rest_days_diff,match_congestion_diff,is_predictable_now
11,2026-06-14,Ivory Coast,Ecuador,Group Stage,Group E,Lincoln Financial Field,scheduled,False,False,False,1540.869533,1598.51582,-57.64628700000003,0.41779330581923885,False,False,,,,,,,33.0,23.0,-10.0,1540.869533,1598.51582,-57.64628700000003,6.0,0.6666666666666666,12.0,0.8,22.0,0.7,0.0,0.2,4.0,0.3333333333333333,10.0,0.6,17.0,0.4,0.2,0.2,2.0,0.20000000000000007,0.0,1.0,2.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.4,0.6,0.8,2.0,0.9,1.1,7.0,0.6,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.4,0.6,0.8,1.2,0.6,0.6,7.0,0.4,0.0,0.0,0.0,0.19999999999999996,0,0,0,0,,,True,False,False,False,True,False,0,4,10,1,7,2,3,-1,True
12,2026-06-15,Winner UEFA Playoff B,Tunisia,Group Stage,Group F,Estadio BBVA,scheduled,False,False,False,,1476.405088,,,True,False,,,,,,,,46.0,,,1476.405088,,,,,,,,,,0.0,0.0,1.0,0.0,9.0,0.2,0.2,0.8,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,0.3333333333333333,4.666666666666667,-4.333333333333333,0.2,3.0,-2.8,0.9,2.1,-1.2,1.0,0.2,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,,0,1,3,,-3,False
13,2026-06-15,Spain,Cabo Verde,Group Stage,Group H,Mercedes-Benz Stadium,scheduled,False,False,False,1873.013187,1371.10798,501.905207,0.9473098959004154,False,False,,,,,,,2.0,67.0,65.0,1873.013187,1371.10798,501.905207,7.0,0.6666666666666666,11.0,0.6,22.0,0.6,0.4,0.0,,,,,,,,,,,,3.0,0.0,1.0,1.6666666666666667,0.0,1.6666666666666667,1.8,0.4,1.4,2.2,0.4,1.8,9.0,0.6,,,,,,,,,,,,,,,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,7,2,,0,,2,False
14,2026-06-15,Belgium,Egypt,Group Stage,Group G,Lumen Field,scheduled,False,False,False,1742.235945,1562.367246,179.86869899999988,0.7379629013516267,False,False,,,,,,,9.0,29.0,20.0,1742.235945,1562.367246,179.86869899999988,5.0,0.3333333333333333,11.0,0.6,22.0,0.6,0.4,0.0,5.0,0.3333333333333333,8.0,0.4,16.0,0.4,0.4,0.2,3.0,0.19999999999999996,-0.2,3.0,2.0,0.0,2.0,0.6666666666666666,1.3333333333333333,2.6,0.4,2.2,3.1,0.8,2.3,13.0,0.6,1.0,1.0,0.0,1.6666666666666667,1.0,0.6666666666666666,1.4,1.0,0.4,1.4,0.8,0.6,7.0,0.2,1.2000000000000002,-0.6,1.8000000000000003,0.39999999999999997,4,1,3,0,0.25,-0.75,True,False,False,False,True,False,0,4,9,2,9,2,0,0,True
15,2026-06-15,Saudi Arabia,Uruguay,Group Stage,Group H,Hard Rock Stadium,scheduled,False,False,False,1421.538339,1673.068603,-251.530264,0.19032117902085754,False,False,,,,,,,61.0,16.0,-45.0,1421.538339,1673.068603,-251.530264,2.0,0.0,5.0,0.2,8.0,0.2,0.4,0.4,3.0,0.0,4.0,0.0,15.0,0.3,0.8,0.2,1.0,0.2,0.2,0.0,0.0,1.0,0.3333333333333333,1.6666666666666667,-1.3333333333333333,1.0,1.4,-0.4,0.8,1.6,-0.8,5.0,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.8,-0.8,1.1,1.0,0.1,5.0,0.2,0.0,-0.40000000000000013,0.4,0.2,3,1,1,1,0.3333333333333333,0.0,True,False,False,False,True,False,0,4,6,3,76,0,-70,3,True
16,2026-06-16,Iran,New Zealand,Group Stage,Group G,SoFi Stadium,scheduled,False,False,False,1619.58163,1275.581062,344.00056799999993,0.8787052997013074,False,False,,,,,,,20.0,85.0,65.0,1619.58163,1275.581062,344.00056799999993,5.0,0.3333333333333333,11.0,0.6,16.0,0.4,0.4,0.0,1.0,0.0,4.0,0.2,5.0,0.1,0.2,0.6,7.0,0.39999999999999997,-0.6,1.0,1.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.4,0.6,1.8,1.6,0.7,0.9,12.0,0.6,1.0,5.0,0.0,1.0,2.0,-1.0,1.4,2.2,-0.8,0.9,1.9,-1.0,7.0,0.0,1.0,-1.6,2.6,0.6,3,1,0,2,0.3333333333333333,1.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
17,2026-06-16,France,Senegal,Group Stage,Group I,MetLife Stadium,scheduled,False,False,False,1869.428449,1686.412769,183.01567999999997,0.7414508265796829,False,False,,,,,,,3.0,15.0,12.0,1869.428449,1686.412769,183.01567999999997,9.0,1.0,15.0,1.0,27.0,0.9,0.0,0.0,3.0,0.3333333333333333,4.0,0.2,16.0,0.5,0.2,0.6,11.0,0.8,-0.6,1.0,0.0,1.0,3.3333333333333335,0.3333333333333333,3.0,3.2,0.6,2.6,2.9,0.8,2.1,16.0,0.4,2.0,3.0,0.0,2.6666666666666665,2.0,0.6666666666666666,2.0,1.8,0.2,1.7,1.3,0.4,10.0,0.4,1.2000000000000002,-1.2000000000000002,2.4,0.0,2,0,2,0,0.0,-1.5,True,False,False,False,True,False,0,4,8,2,7,2,1,0,True
18,2026-06-16,Winner FIFA Playoff 2,Norway,Group Stage,Group I,Gillette Stadium,scheduled,False,False,False,,1557.437664,,,True,False,,,,,,,,31.0,,,1557.437664,,,,,,,,,,6.0,0.6666666666666666,10.0,0.6,18.0,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,2.4,1.8,0.6,2.2,1.4,0.8,12.0,0.0,,,,,0,0,0,0,,,True,False,False,False,True,False,0,4,,0,9,2,,-2,False
19,2026-06-17,Argentina,Algeria,Group Stage,Group J,Arrowhead Stadium,scheduled,False,False,False,1876.118331,1571.033293,305.08503799999994,0.8527344355770138,False,False,,,,,,,1.0,28.0,27.0,1876.118331,1571.033293,305.08503799999994,9.0,1.0,15.0,1.0,30.0,1.0,0.0,0.0,4.0,0.3333333333333333,10.0,0.6,20.0,0.6,0.2,0.2,5.0,0.4,-0.2,3.0,2.0,0.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,2.6,0.2,2.4,2.9,0.2,2.7,13.0,0.8,0.0,2.0,0.0,1.6666666666666667,2.3333333333333335,-0.6666666666666666,2.0,1.4,0.6,2.1,1.0,1.1,10.0,0.4,0.6000000000000001,-1.2,1.7999999999999998,0.4,2,2,0,0,1.0,2.0,True,False,False,False,True,False,0,4,1,3,1,3,0,0,True
20,2026-06-17,Austria,Jordan,Group Stage,Group J,Levi's Stadium,scheduled,False,False,False,1597.404087,1387.738222,209.66586499999994,0.7697559597325891,False,False,,,,,,,24.0,63.0,39.0,1597.404087,1387.738222,209.66586499999994,4.0,0.3333333333333333,10.0,0.6,20.0,0.6,0.2,0.2,0.0,0.0,1.0,0.0,11.0,0.3,0.2,0.8,9.0,0.6,-0.6000000000000001,0.0,3.0,0.0,2.0,2.0,0.0,1.6,1.2,0.4,2.6,0.9,1.7,8.0,0.4,1.0,3.0,0.0,0.6666666666666666,2.3333333333333335,-1.6666666666666667,1.0,2.6,-1.6,1.4,1.8,-0.4,5.0,0.0,0.6000000000000001,-1.4000000000000001,2.0,0.4,1,1,0,0,1.0,2.0,True,False,False,False,True,False,0,4,1,2,1,3,0,-1,True
