config,n_features,val_accuracy,val_macro_f1,val_log_loss,val_brier,val_draw_recall
elo_only,4,0.576364614143587,0.42016718797642527,0.9175798948430407,0.5410851033094624,0.0034462952326249283
elo+form,7,0.5755579456843237,0.41879026816681914,0.9177212153179268,0.5413789708396702,0.0022975301550832855
elo+goals,8,0.5754235009411132,0.4183379611939794,0.9113742696452063,0.5377648303057885,0.0017231476163124641
elo+h2h,7,0.5779779510621135,0.4216791791527645,0.9103771378090276,0.5371795218137427,0.00402067777139575
elo+tournament,9,0.5766335036300081,0.42362376921148903,0.9105915316115402,0.5365118028597509,0.0068925904652498565
elo+schedule,10,0.5754235009411132,0.4223313689861969,0.9142396641629951,0.539471208851859,0.0068925904652498565
full_production,25,0.5824146275880613,0.4301344951518131,0.897823061908177,0.529260769097607,0.010338885697874785
