config,fold,train_rows,val_rows,accuracy,macro_f1,log_loss,brier
baseline,1,21075,5268,0.5897873955960516,0.42625005172746455,0.8823686622363007,0.5198012829146983
baseline,2,26343,5269,0.5796166255456443,0.4313476194723989,0.8952335173786021,0.5281225944487627
baseline,3,31612,5269,0.5828430442209148,0.4294894671942983,0.8953434863645875,0.5278202787205937
baseline,4,36881,5269,0.585120516226988,0.4321410617917682,0.9014112109704121,0.5312030450701029
tuned,1,21075,5268,0.591116173120729,0.4270357357341111,0.8828037671610784,0.519884098080625
tuned,2,26343,5269,0.5782881002087683,0.42767702274708386,0.8950092087219598,0.5278586082725012
tuned,3,31612,5269,0.5828430442209148,0.42920512258627147,0.895614971774237,0.5278860239737547
tuned,4,36881,5269,0.5828430442209148,0.42878879672043335,0.9009646629585608,0.5310015654190989
