experiment_id,family,n_features,val_accuracy,val_macro_f1,val_log_loss,val_brier,val_draw_recall,val_draw_f1,note
E0_baseline,baseline,25,0.5824146275880613,0.4301344951518131,0.897823061908177,0.529260769097607,0.010338885697874785,0.020055710306406686,production features + params
A_multiwindow,feature,36,0.5820112933584297,0.42826721493116277,0.8974492557243298,0.5289320482594976,0.0080413555427915,0.01569506726457399,added 11 last_3/last_10 + draw_rate diffs
D_recency_hl8,recency_weight,25,0.5810701801559559,0.4431959082817151,0.9014582508369271,0.5308426421576049,0.03331418724870764,0.060291060291060294,half-life 8.0y
D_recency_hl4,recency_weight,25,0.5771712826028502,0.44808934369817743,0.9032145863001186,0.5319158788810053,0.04767375071797817,0.08295852073963018,half-life 4.0y
D_recency_hl2,recency_weight,25,0.5786501747781662,0.45860198299444543,0.9089753099158772,0.5352321786853496,0.06662837449741528,0.1122942884801549,half-life 2.0y
G_balanced_weight,class_weight,25,0.5353589674643722,0.5126877955519471,0.9348412226521643,0.554612093699,0.3900057438253877,0.3395,inverse-frequency class weights
G_draw_boost,class_weight,25,0.5406023124495832,0.5013846710531408,0.9257149567239576,0.5487357415491011,0.44514646754738657,0.35854730511219063,draw x1.8
F_tuned_best,hyperparameter,25,0.5826835170744824,0.43025049274333876,0.8978465074339191,0.5292861886094726,,,best of 30 randomized configs
