match_id,date,stage,group,team_a,team_b,venue,city,country,status,source,last_updated
1,2026-06-11,Group Stage,Group A,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
2,2026-06-12,Group Stage,Group A,South Korea,Winner UEFA Playoff D,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
3,2026-06-12,Group Stage,Group B,Canada,Winner UEFA Playoff A,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
4,2026-06-13,Group Stage,Group D,United States,Paraguay,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
5,2026-06-13,Group Stage,Group B,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
6,2026-06-13,Group Stage,Group C,Brazil,Morocco,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
7,2026-06-14,Group Stage,Group C,Haiti,Scotland,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
8,2026-06-14,Group Stage,Group D,Australia,Winner UEFA Playoff C,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
9,2026-06-14,Group Stage,Group E,Germany,Curaçao,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
10,2026-06-14,Group Stage,Group F,Netherlands,Japan,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
11,2026-06-14,Group Stage,Group E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
12,2026-06-15,Group Stage,Group F,Winner UEFA Playoff B,Tunisia,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
13,2026-06-15,Group Stage,Group H,Spain,Cabo Verde,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
14,2026-06-15,Group Stage,Group G,Belgium,Egypt,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
15,2026-06-15,Group Stage,Group H,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
16,2026-06-16,Group Stage,Group G,Iran,New Zealand,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
17,2026-06-16,Group Stage,Group I,France,Senegal,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
18,2026-06-16,Group Stage,Group I,Winner FIFA Playoff 2,Norway,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
19,2026-06-17,Group Stage,Group J,Argentina,Algeria,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
20,2026-06-17,Group Stage,Group J,Austria,Jordan,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
21,2026-06-17,Group Stage,Group K,Portugal,Winner FIFA Playoff 1,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
22,2026-06-17,Group Stage,Group L,England,Croatia,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
23,2026-06-17,Group Stage,Group L,Ghana,Panama,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
24,2026-06-18,Group Stage,Group K,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
25,2026-06-18,Group Stage,Group A,Winner UEFA Playoff D,South Africa,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
26,2026-06-18,Group Stage,Group B,Switzerland,Winner UEFA Playoff A,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
27,2026-06-19,Group Stage,Group B,Canada,Qatar,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
28,2026-06-19,Group Stage,Group A,Mexico,South Korea,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
29,2026-06-19,Group Stage,Group D,United States,Australia,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
30,2026-06-19,Group Stage,Group C,Scotland,Morocco,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
31,2026-06-20,Group Stage,Group C,Brazil,Haiti,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
32,2026-06-20,Group Stage,Group D,Winner UEFA Playoff C,Paraguay,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
33,2026-06-20,Group Stage,Group F,Netherlands,Winner UEFA Playoff B,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
34,2026-06-20,Group Stage,Group E,Germany,Ivory Coast,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
35,2026-06-21,Group Stage,Group E,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
36,2026-06-21,Group Stage,Group F,Tunisia,Japan,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
37,2026-06-21,Group Stage,Group H,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
38,2026-06-21,Group Stage,Group G,Belgium,Iran,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
39,2026-06-21,Group Stage,Group H,Uruguay,Cabo Verde,Hard Rock Stadium,Miami,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
40,2026-06-22,Group Stage,Group G,New Zealand,Egypt,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
41,2026-06-22,Group Stage,Group J,Argentina,Austria,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
42,2026-06-22,Group Stage,Group I,France,Winner FIFA Playoff 2,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
43,2026-06-23,Group Stage,Group I,Norway,Senegal,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
44,2026-06-23,Group Stage,Group J,Jordan,Algeria,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
45,2026-06-23,Group Stage,Group K,Portugal,Uzbekistan,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
46,2026-06-23,Group Stage,Group L,England,Ghana,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
47,2026-06-23,Group Stage,Group L,Panama,Croatia,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
48,2026-06-24,Group Stage,Group K,Colombia,Winner FIFA Playoff 1,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
49,2026-06-24,Group Stage,Group B,Switzerland,Canada,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
50,2026-06-24,Group Stage,Group B,Winner UEFA Playoff A,Qatar,Lumen Field,Seattle,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-10T00:54:46+00:00
